word,count
axles,1
babel,3
backs,2
bacon,1
badge,1
badly,3
baker,2
balls,2
balmy,1
bandy,1
banks,3
barge,1
baron,1
basin,4
beach,3
beads,1
beams,1
beans,3
beard,2
bears,2
beast,5
beats,2
beaut,1
becky,1
began,45
begin,16
begun,7
bella,111
belle,1
bells,6
bench,10
bends,1
berry,1
berth,2
beset,2
betty,6
bevan,4
bevis,1
biddy,45
bight,1
bills,5
binns,1
birds,11
birth,5
bites,2
black,52
blade,2
blame,6
bland,2
blank,9
blast,1
blaze,2
bleak,7
bleed,1
bless,59
blest,7
bleve,1
blind,11
bliss,3
block,1
blood,17
bloom,4
blown,3
blows,6
bluer,1
bluff,1
blunt,1
blush,2
board,21
boast,4
boats,5
boned,1
bones,6
bonny,1
booby,1
books,15
booth,2
boots,18
borne,5
bosom,13
bound,23
bowed,5
bower,9
boxes,6
brain,4
brass,37
brave,7
bravo,2
brawn,2
bread,23
break,10
brick,15
bride,4
brief,6
bring,35
brink,1
brisk,4
broad,28
broke,18
brood,1
broom,2
broth,3
brown,19
brows,4
brush,4
brute,4
build,1
built,4
bulky,1
bully,1
bunch,1
burly,1
burns,1
burnt,9
burst,6
buxom,1
byron,1
cabin,4
caddy,28
caged,2
cakes,4
calls,10
calms,1
cameo,1
caned,1
canon,5
canst,1
cards,7
cared,6
cares,8
carol,1
carry,12
carve,1
cases,12
casks,3
casts,2
catch,13
cause,26
cease,2
cells,1
chaff,1
chain,6
chair,70
chalk,2
chaps,2
charm,4
chase,3
chasm,1
cheap,2
cheat,3
check,13
cheek,14
cheer,6
chess,2
chest,12
chevy,1
chief,9
child,102
chill,5
china,3
chink,2
choir,2
chook,1
chops,6
chord,1
chose,4
chron,1
chuff,3
cigar,2
civil,4
claim,15
clara,19
clare,4
clash,2
clasp,3
class,5
claws,1
clean,12
clear,27
clerk,23
cling,2
clink,2
cloak,7
clock,35
close,49
cloth,14
cloud,8
clown,1
clubs,1
clues,1
clump,1
clung,3
coach,44
coals,6
coast,1
coats,3
coils,1
comer,1
comes,38
comic,2
comin,1
compo,1
cooin,1
corks,1
costs,4
couch,2
cough,6
could,311
count,1
court,41
cover,2
crack,6
craft,1
cramp,1
crape,4
crash,2
crawl,1
crazy,3
creak,1
creek,2
creep,2
crept,3
cried,25
cries,7
crime,7
crisp,2
croak,1
crops,1
cross,21
crowd,13
crown,11
crows,1
cruel,13
crumb,1
crupp,6
crush,3
crust,3
cuffs,1
cuffy,1
cupid,5
curls,6
curly,1
curse,6
cutch,1
cyrus,1
daggs,1
daily,10
dairy,1
daisy,2
damme,1
dance,7
darby,1
dared,2
daren,1
dares,1
darts,1
dates,2
david,23
dazed,2
dealt,2
deary,2
death,40
