word,count
butter,94
singular,94
amiable,93
dying,93
phil,93
visitors,93
sides,93
borne,93
hinted,93
choose,93
smell,93
flite,93
consent,93
daily,93
warning,93
waste,93
dine,93
closely,93
wondered,93
finds,92
sad,92
allowed,92
u,92
collection,92
tellson,92
collar,92
necessity,92
assented,92
reminded,92
regret,92
dogs,92
useful,92
cook,92
generous,92
astonished,92
abel,92
earnestness,92
misery,92
appointed,92
peculiar,92
orphan,91
train,91
ceased,91
thy,91
pot,91
hide,91
yonder,91
silver,91
pressed,91
glasses,91
codlin,91
approach,91
roused,91
chap,91
fog,91
dropping,91
murmured,91
fee,91
main,91
deny,90
headed,90
importance,90
jarley,90
grief,90
fly,90
flight,90
bachelor,90
bridge,90
catch,90
n,90
ruin,90
parties,90
parts,90
correct,90
puts,90
grand,90
damp,90
description,90
described,90
cough,89
active,89
arose,89
notwithstanding,89
quantity,89
indifferent,89
relieved,89
wishes,89
cost,89
pogram,89
brow,89
dressing,89
appeal,89
confess,88
rid,88
beating,88
wi,88
bag,88
awoke,88
stared,88
card,88
smooth,88
upper,88
assurance,88
sorts,88
betty,88
pull,88
shade,88
special,88
proper,88
drummle,88
stare,87
extreme,87
chain,87
ordered,87
official,87
hollow,87
possibility,87
hint,87
mild,87
trial,87
friendship,87
reproach,87
sigh,87
interval,87
faintly,87
driver,87
lively,87
song,87
preparations,86
custom,86
slept,86
desired,86
seeming,86
snow,86
crown,86
forgot,86
badger,86
spring,86
recall,86
reach,86
emotion,86
idle,86
intent,86
officer,86
relation,86
mill,86
interrupted,86
rolling,86
drive,86
principle,85
inquire,85
disagreeable,85
thin,85
allan,85
knocking,85
render,85
using,85
accepted,85
commons,85
fail,85
p,85
lonely,85
hotel,85
ride,85
dartle,84
clasped,84
immediate,84
features,84
thanks,84
stronger,84
boythorn,84
affected,84
mile,84
wanting,84
turveydrop,84
footsteps,84
b,84
accident,84
winter,84
wheels,84
willing,84
canon,84
coarse,84
thoroughly,84
jane,83
previous,83
bower,83
nurse,83
baronet,83
accept,83
walks,83
arrangements,83
marchioness,83
deserted,83
race,83
youngest,83
compliment,83
astonishment,83
foolish,83
angel,83
singing,83
wicked,83
paris,83
annie,83
reverend,83
firm,83
remains,83
prince,83
happily,83
casting,83
candles,83
month,83
repeat,83
eating,82
aid,82
motion,82
driven,82
grace,82
desperate,82
success,82
bowed,82
slyme,82
actually,82
deceased,82
flower,82
proof,82
disposition,82
result,82
finally,82
gratitude,82
increased,82
visible,82
cloth,82
childish,82
marquis,82
straw,82
minds,82
hidden,82
happier,82
virtue,82
recollection,81
rum,81
copies,81
term,81
ink,81
stretched,81
housekeeper,81
roll,81
agitation,81
tear,81
knitting,81
closing,81
excitement,81
ugly,81
proceed,81
meat,81
godmother,81
blessing,80
interesting,80
client,80
buried,80
premises,80
doorway,80
drood,80
chief,80
drops,80
receiving,80
cherry,80
wake,80
www,80
emphasis,80
sentence,80
begins,80
garland,80
dusty,80
proposal,80
org,80
cloud,80
accordingly,80
shortly,80
guilty,80
message,80
separate,79
settle,79
readily,79
cleared,79
slightly,79
duties,79
sensation,79
efforts,79
shone,79
maid,79
surface,79
fellows,79
wisdom,79
fork,79
dancing,79
shops,79
fashion,79
alarmed,79
starting,79
mankind,79
check,79
nadgett,79
mighty,79
conscience,79
wise,79
patience,79
cloisterham,79
attentive,78
polite,78
composure,78
system,78
fancied,78
marks,78
pudding,78
marked,78
pursuit,78
example,78
cat,78
dangerous,78
toast,78
hole,78
fragments,78
circle,78
frequently,78
coachman,78
admitted,78
timid,78
leisure,78
venture,78
bending,78
practical,78
th,78
tune,78
pressing,78
improved,78
deed,78
shot,78
spread,77
study,77
energy,77
saved,77
tremendous,77
pillow,77
joined,77
gravity,77
entering,77
counter,77
owner,77
dreams,77
cheerfully,77
nearest,77
rang,77
falls,77
sacred,77
content,77
hate,77
authority,77
handle,77
expense,76
class,76
directions,76
quarrel,76
hurriedly,76
wrapped,76
spy,76
repeats,76
avoid,76
pausing,76
promised,76
theme,76
feeble,76
tenderly,76
doll,76
named,76
sydney,76
joke,76
christian,76
newspaper,76
amazement,76
meanwhile,75
meantime,75
reputation,75
animal,75
resolution,75
doubtful,75
interview,75
profound,75
rested,75
paying,75
storm,75
require,75
horrible,75
jacob,75
passengers,75
confidential,75
instrument,75
corners,75
everywhere,75
ringing,75
dwelling,75
illustration,75
taught,75
language,75
milvey,75
prove,75
served,75
task,75
mission,75
proved,75
mentioning,74
imagine,74
senses,74
explain,74
pretence,74
decided,74
section,74
accounts,74
shawl,74
newly,74
jinkins,74
exhausted,74
shock,74
reflected,74
original,74
fountain,74
judy,74
soldier,74
silently,74
conducted,74
fat,74
sing,74
behold,74
convinced,74
folding,74
modest,74
attracted,74
flying,74
sleeping,74
tony,73
blowing,73
france,73
shutting,73
rubbed,73
additional,73
breathing,73
judgment,73
superior,73
portrait,73
powers,73
poll,73
horror,73
chuckster,73
wax,73
illness,73
tax,73
disgrace,73
sleeve,73
practice,73
closer,73
serve,73
fate,73
jacques,73
attempt,73
cutting,73
snuff,73
lingering,73
direct,73
surrounded,73
opinions,73
childhood,73
cup,73
failed,73
disappointment,73
disappeared,72
st,72
earnestly,72
doen,72
inclination,72
fetch,72
delicacy,72
bleak,72
represented,72
announced,72
fool,72
counsel,72
stiff,72
pursue,72
suspect,72
bestowed,72
date,72
suspicions,72
exact,72
tells,72
notary,72
uneasiness,72
unexpected,72
conviction,72
notion,72
paused,72
narrative,72
moonlight,71
enemy,71
kinds,71
respecting,71
unusual,71
belonging,71
distributing,71
sixpence,71
lines,71
vast,71
tartar,71
design,71
rope,71
doubts,71
politeness,71
yielded,71
comply,71
quality,71
uncertain,71
hopeful,71
eldest,71
intentions,71
ragged,71
capacity,71
manners,71
expressions,71
raise,71
minded,71
citizen,71
purse,71
becomes,71
awake,71
awakened,71
provis,70
popular,70
encouragement,70
sold,70
qualities,70
delay,70
positively,70
fish,70
powerful,70
treated,70
calls,70
lightly,70
relative,70
burnt,70
farther,70
ebook,70
waving,70
recalled,70
drunk,70
answers,70
coloured,70
supposing,70
bitzer,70
ebooks,70
refer,70
chillip,70
invited,69
medium,69
completely,69
mademoiselle,69
blame,69
spectacles,69
gallery,69
umble,69
facts,69
bottles,69
later,69
observes,69
cunning,69
advance,69
plenty,69
kissing,69
receipt,69
derived,69
household,69
despair,69
rick,69
changing,69
lodgings,69
heat,69
mell,69
assisted,69
boxes,69
track,69
consequences,69
fortunes,69
gloom,69
excited,69
follows,68
seized,68
pursuing,68
page,68
dining,68
wound,68
regularly,68
cases,68
whiskers,68
entertained,68
prepare,68
hammer,68
subdued,68
owe,68
violence,68
mail,68
list,68
impatient,68
charged,68
deary,68
dance,68
bargain,68
released,68
compassion,68
match,68
national,68
favourable,68
lantern,67
flushed,67
stately,67
indifference,67
solemnly,67
chaise,67
suffer,67
shaken,67
suffering,67
answering,67
season,67
reasonable,67
capable,67
infant,67
score,67
frank,67
job,67
peecher,67
appointment,67
sarah,67
faced,67
preparation,67
attendance,67
impressed,67
seriously,67
brings,67
ended,67
gathered,67
hundreds,67
admired,67
birthday,67
tumbled,67
bells,67
related,67
rises,67
beheld,66
exercise,66
north,66
arrangement,66
honoured,66
attentively,66
learnt,66
occasioned,66
umbrella,66
harris,66
genteel,66
expressing,66
lavvy,66
principal,66
holds,66
apparently,66
convenient,66
cloak,66
repeating,66
painted,66
forms,66
absolutely,66
image,66
dreary,66
suspicious,66
mustn,66
worldly,66
wos,66
confirmed,66
anthony,66
enjoyed,66
deeper,66
stated,65
fierce,65
behalf,65
utterly,65
checked,65
portion,65
cared,65
brief,65
association,65
recognition,65
waist,65
calculated,65
propose,65
crept,65
gazing,65
built,65
sleary,65
consolation,64
measure,64
group,64
insensible,64
expressly,64
feels,64
distribution,64
learning,64
trembled,64
hopeless,64
produce,64
pie,64
assured,64
movement,64
pretend,64
eager,64
gain,64
swear,64
jealous,64
travellers,64
unlike,64
scheme,64
cherub,64
recommend,64
mutton,64
waking,64
employment,64
piano,64
respects,64
report,64
appetite,64
catching,64
proceeding,64
entertainment,64
beforehand,64
mama,64
favoured,64
clara,64
views,64
companions,63
bride,63
fearful,63
shrill,63
hesitation,63
permitted,63
unwilling,63
social,63
haste,63
ate,63
fears,63
deaf,63
engagement,63
mourning,63
